vurderingid,created,navn,url,omraade,nr,krav,poeng,maxscore,kommentar
17555,07.03.2013,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelighet,1.1,Bildene på nettstedet har alternativ bildetekst,2,2,"Testsider: Startsiden og ordførersiden.  For enkelte av bildene er alt-teksten lite beskrivende, men dette er alle hovedsak rene pynt-bilder. Godkjent."
17555,07.03.2013,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelighet,1.2,Lenker skiller seg ut fra vanlig tekst,0,2,På flere av nettstedets sider brukes farge som viktigste form for lenkemarkering. Ikke godkjent. Se eksempelside:  http://www.agdenes.kommune.no/skogbruk.147385.no.html
17555,07.03.2013,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelighet,1.3,Nettstedet forklarer hvordan skriftstørrelsen kan endres,1,3,Nettstedet mangler veiledning om hvordan brukeren kan endre skriftstørrelsen.
17555,07.03.2013,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelighet,1.4,Datatabeller er tilgjengelige,0,3,Testtabell: Tabellen(e) på siden http://www.agdenes.kommune.no/skolefritidsordning-sfo.4612670-138147.html Resultat: Tabellkodingen tilfredsstiller ingen av kravene. Ikke godkjent
17555,07.03.2013,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelighet,1.5,Rammer blir benyttet på en måte som reduserer ulempene,2,2,Fant ingen bruk av rammer eller Iframe på testede sider.
17555,07.03.2013,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelighet,1.6,Meny og søk fungerer uten ekstra utvidelser,2,2,Både meny og søkefunksjon fungerer tilfredsstillende utan javascript/Flash.
17555,07.03.2013,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelighet,1.7,Kontrasten på nettstedet er tilstrekkelig,3,3,Testsider: Startsiden + http://www.agdenes.kommune.no/index.php?cat=147044 .Resultat: Godkjent.
17555,07.03.2013,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelighet,1.8,Statisk innhold kan hoppes over,0,2,"Nettstedet har 3 skip-links, men implementeringen har flere feil: Fokus vises ikke og 2 av lenkene gir &quot;404 File not found&quot; som resultat. Ikke godkjent."
17555,07.03.2013,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelighet,1.9,Nettstedet skiller mellom form og innhold,4,4,Godkjent.
17555,07.03.2013,Agdenes kommune,http://www.agdenes.kommune.no/,1. Tilgjengelighet,1.10,Nettstedets språk er deklarert,0,3,Nettstedet har deklarert XHTML som dokumenttype (DTD XHTML).  Språkkoden skal da ha både lang=&quot;no&quot; og xml:lang=&quot;no&quot; i HTML-taggen. Det siste leddet mangler.
