byggnr;navn;adresse;postnr;poststed;service;latitude;longitude;
1;Olav Kyrres gate 19;Olav Kyrres gate 19;4005;Stavanger;Kurslokale, Plan og anlegg, Vann og avløpsverk, IT-Avdelingen, Kommuneadvokat og Innkjøp, Bymiljø og utbygging, Idrett.;58.969325;5.7261674
2;Servicetorget;Olav Kyrresgate 23;4005;Stavanger;Byggesaker, delesaker, hustegninger, eiendomsopplysninger, situasjonskart, målebrev, Gravetillatelser, Innsyn etter offentlighetsloven, Innsyn i politiske saker, Innbetaling til kommunen,(ingen utbetalinger), Kommune-, kommunedels- og reguleringsplaner, Kopiering, Kjøp av bioposer og avfallssekker, Renovasjonsbestillinger og -endringer, Salgs- og standplasser i sentrum, Seksjoneringssaker, Utskrift fra digital eiendomsinformasjon, Servicetorget hjelper deg med å finne fram i Stavanger kommune. , Vi hjelper deg enten ved å svare deg på det du lurer på, eller henviser deg til riktig person eller sted i Stavanger kommune;58.9696883;5.7250564
3;Arne Rettedals gate 12;Arne Rettedals gate 12;4005;Stavanger;Barnehageplass, Bostøtte, Egenbetaling for alders- og sykehjem, Gjeldsrådgiving, Legater, Skoletilbud, Startlån, Søknadsskjemaer, I foajeen har publikum tilgang til PC. Oppvekst- og levekårservice ligger også her, og kan kontaktes på tlf. 51 91 26 96 eller oppvekstservice@stavanger.kommune.no;58.9677293;5.7261699
4;Oppvekst og levekårservice;Eiganesveien 10;4008;Stavanger;Barnehageplass, Bostøtte, Egenbetaling for alders- og sykehjem, Gjeldsrådgiving, Legater, Skoletilbud og Startlån til egen bolig;58.9677074;5.7238875
5;Rådhuset;Øvre Kleivgate 15;4005;Stavanger;Politisk sekretariat, Rådmann, Diriktører, Økonomi direktører, Kommunikasjon, Budsjett og økonomistyring og Strategi og analyse;58.9683049;5.72691
6;Byarkivet;Øvre Kleivgate 15;4005;Stavanger;Eiendoms- og bygningsopplysninger, Foto, Kart, Lokalhistorie, Nettutstillinger, Postlister og Slekt;58.9683049;5.72691
7;Sølvberget: Stavanger bibliotek;Sølvberggata 2;4006;Stavanger;Plass til å studere, Gratis trådløst nett, Gratis utlån av ebøker, Leksehjelp, Lånekort, Kopieringstjenester, Digitale opplsagsverk og arkiver, Aviser, Innleverting , Utlånsautomat, Gebyr og påminnelser, Mine varslinger- min side, Library PressDisplay, Internett, Utlånsreglement for Stavanger bibliotek, Tidsskrifter, magasiner og ukeblader;58.9714698;5.7314672
8;Sølvberget: Stavanger bibliotek etg.2-3;Sølvberggata 2;4006;Stavanger;Plass til å studere, Gratis trådløst nett, Gratis utlån av ebøker, Leksehjelp, Lånekort, Kopieringstjenester, Digitale opplsagsverk og arkiver, Aviser, Innleverting , Utlånsautomat, Gebyr og påminnelser, Mine varslinger- min side, Library PressDisplay, Internett, Utlånsreglement for Stavanger bibliotek, Tidsskrifter, magasiner og ukeblader;58.9714698;5.7314672
9;Hillevåg Helsestasjon;Gartnerveien 41;4016;Stavanger;Hjemmebesøk, sped- og småbarns konsultasjoner med helseundersøkelser, foreldreveiledning, helseopplysning, vaksinasjon (barnevaksinasjonsprogrammet), oppfølging av familier med spesielle behov, tverrfaglig samarbeid, Mat, søvn, trivsel, utvikling, ulykkesforebygging, samspill, foreldrerollen , og utfordringer i hverdagen, er tema vi tar opp på konsultasjonene.;58.949836;5.7381363
10;Hinna Helsestasjon;Hinnasvingene 55;4020;Stavanger;Hjemmebesøk, sped- og småbarns konsultasjoner med helseundersøkelser, foreldreveiledning, helseopplysning, vaksinasjon (barnevaksinasjonsprogrammet), oppfølging av familier med spesielle behov, tverrfaglig samarbeid, Mat, søvn, trivsel, utvikling, ulykkesforebygging, samspill, foreldrerollen , og utfordringer i hverdagen, er tema vi tar opp på konsultasjonene.;58.9217233;5.7221395
