verdensdel;land;by;kost;administrativt_satt
Afrika;Øvrige områder;;580;
Afrika;Algerie;;700;
Afrika;Angola;;1270;
Afrika;Benin;;490;
Afrika;Botswana;;450;
Afrika;Burundi;;460;
Afrika;Egypt;;650;
Afrika;Elfenbenskysten;;700;
Afrika;Eritrea;;700;
Afrika;Etiopia;;450;
Afrika;Ghana;;500;
Afrika;Kamerun;;560;
Afrika;Kenya;;580;
Afrika;Lesotho;;350;
Afrika;Madagaskar;;350;
Afrika;Malawi;;360;
Afrika;Marokko;;670;
Afrika;Mauritius;;480;
Afrika;Mosambik;;690;
Afrika;Namibia;;360;
Afrika;Nigeria;;980;
Afrika;Seychellene;;810;
Afrika;Sudan;;800;
Afrika;Swaziland;;350;
Afrika;Sør-Afrika;;540;
Afrika;Sør-Sudan;;580;
Afrika;Tanzania;;650;
Afrika;Togo;;500;
Afrika;Zambia;;600;
Afrika;Zimbabwe;;590;
Amerika;Øvrige områder;;710;
Amerika;Argentina;;520;
Amerika;Bahamas;;940;
Amerika;Barbados;;860;
Amerika;Bolivia;;340;
Amerika;Brasil;;650;
Amerika;Brasil;Rio de Janeiro;820;
Amerika;Canada;;930;
Amerika;Chile;;720;
Amerika;Colombia;;500;
Amerika;Costa Rica;;550;
Amerika;Cuba;;560;
Amerika;El Salvador;;440;
Amerika;Guatemala;;550;
Amerika;Guyana;;560;
Amerika;Honduras;;400;
Amerika;Jamaica;;610;
Amerika;Mexico;;680;
Amerika;Nicaragua;;460;
Amerika;Panama;;500;
Amerika;Paraguay;;500;
Amerika;Peru;;750;
Amerika;Puerto Rico;;700;
Amerika;Surinam;;550;
Amerika;Uruguay;;600;
Amerika;USA;;700;
Amerika;USA;New York;950;
Amerika;USA;San Francisco;1000;
Amerika;USA;Washington DC;1000;
Amerika;Venezuela;;1600;
Asia;Øvrige områder;;690;
Asia;Afghanistan;;500;
Asia;Armenia;;500;
Asia;Aserbajdsjan;;750;
Asia;Bahrain;;800;
Asia;Bangladesh;;530;
Asia;Brunei;;400;
Asia;Fillippinene;;700;
Asia;Forente arabiske emirater;;1000;
Asia;Georgia;;570;
Asia;India;;500;
Asia;Indonesia;;550;
Asia;Iran;;750;
Asia;Israel;;900;
Asia;Japan;;700;
Asia;Jemen;;500;
Asia;Jordan;;1150;
Asia;Kambodsja;;670;
Asia;Kasakhstan;;700;
Asia;Kina;;730;
Asia;Kina;Hong Kong;1000;
Asia;Kina;Shanghai;870;
Asia;Kuwait;;730;
Asia;Laos;;500;
Asia;Libanon;;890;
Asia;Malaysia;;600;
Asia;Maldivene;;660;
Asia;Myanmar;;690;
Asia;Nord-Korea;;450;
Asia;Oman;;800;
Asia;Pakistan;;400;
Asia;Palestina;;800;
Asia;Qatar;;730;
Asia;Saudi-Arabia;;890;
Asia;Singapore;;800;
Asia;Sri Lanka;;410;
Asia;Sør-Korea;;1100;
Asia;Taiwan;;600;
Asia;Thailand;;700;
Asia;Tyrkia;;520;
Asia;Tyrkia;Istanbul;650;
Asia;Uzbekistan;;400;
Asia;Vietnam;;550;
Asia;Øst-Timor;;510;
Australia/Oceania;Øvrige områder;;740;
Australia/Oceania;Australia;;950;
Australia/Oceania;New Zealand;;700;
Australia/Oceania;Papua New Guinea;;630;
Europa;Øvrige områder;;;
Europa;Albania;;390;
Europa;Andorra;;880;Spania
Europa;Belgia;;900;
Europa;Bosnia-Hercegovina;;430;
Europa;Bulgaria;;420;
Europa;Danmark;;800;
Europa;Danmark;København;930;
Europa;Færøyene;;800;Danmark
Europa;Grønland;;800;Danmark
Europa;Estland;;600;
Europa;Finland;;760;
Europa;Åland;;760;Finland
Europa;Frankrike;;780;
Europa;Frankrike;Paris;900;
Europa;Hellas;;630;
Europa;Hviterussland;;400;
Europa;Irland;;850;
Europa;Island;;850;
Europa;Italia;;900;
Europa;Vatikanstaten;;900;Italia
Europa;Kosovo;;360;
Europa;Kroatia;;740;
Europa;Kypros;;700;
Europa;Latvia;;650;
Europa;Liechtenstein;;1200;
Europa;Litauen;;490;
Europa;Luxemburg;;800;
Europa;Makedonia;;540;
Europa;Malta;;700;
Europa;Moldova;;380;
Europa;Monaco;;1100;
Europa;Montenegro;;500;
Europa;Nederland;;650;
Europa;Polen;;600;
Europa;Portugal;;700;
Europa;Azorene;;700;Portugal
Europa;Madeira;;700;Portugal
Europa;Romania;;550;
Europa;Russland;;650;
Europa;Russland;Moskva;980;
Europa;Russland;St. Petersburg;810;
Europa;San Marino;;900;Italia
Europa;Serbia;;630;
Europa;Slovakia;;600;
Europa;Slovenia;;510;
Europa;Spania;;880;
Europa;Kanariøyene;;880;Spania
Europa;Storbritannia;;680;
Europa;Storbritannia;London;1100;
Europa;Gibraltar;;680;Storbritannia
Europa;Guernsey (inkl. Alderney og Sark);;680;Storbritannia
Europa;Jersey;;680;Storbritannia
Europa;Man;;680;Storbritannia
Europa;Nord-Irland;;680;Storbritannia
Europa;Sveits;;1050;
Europa;Sveits;Zürich;1200;
Europa;Sverige;;750;
Europa;Tsjekkiske republikk;;550;
Europa;Tyskland;;750;
Europa;Tyskland;Berlin;900;
Europa;Ukraina;;530;
Europa;Ungarn;;640;
Europa;Østerrike;;760;
Europa;Østerrike;Wien;900;
