vurderingid,navn,url,omraade,nr,krav,poeng,maxscore,kommentar
19104,Ambulerende skjenkeløyve - Os kommune,https://oskommune.no/Selvbetjening/skjema.aspx?skjemaid=177&MId1=200,1. Tjenesten er enkel å finne,1.1,Tjenesten er enkel å finne gjennom søk og navigasjon,2,6,"Internt søk 'Skjenkeløyve' - godkjent. Eksternt søk på 'Sjenkjeløyve Os kommune' gav for svake resulater i alle tre søkemotorer. Best treff i Google, men også der var det ingen direktetreff til tjenestebeskrivelsen. Intern navigasjon: For vanskelig å finne fram. Ved bruk av tjenestemenyen ble det mange klikk. Det å finne fram krever langt på vei at bruker har forhåndskunnskaper om hvor man skal lete. Ikke godkjent."
19104,Ambulerende skjenkeløyve - Os kommune,https://oskommune.no/Selvbetjening/skjema.aspx?skjemaid=177&MId1=200,1. Tjenesten er enkel å finne,1.2,Tjenesten har et unikt og beskrivende navn,1,2,"Testsider for overskrift: Tjenstebeskrivelsen og nettskjema, overskriftene her er beskrivende og godkjente. Tittel: <title>Skjenkeløyve for enkelthøve/ambulerande </title> = Ikke godkjent - mangler kommunens navn i titteltaggen."
19104,Ambulerende skjenkeløyve - Os kommune,https://oskommune.no/Selvbetjening/skjema.aspx?skjemaid=177&MId1=200,1. Tjenesten er enkel å finne,1.3,Dyplenking er mulig,2,3,"Dyplenking: Det er mulig å dyplenke til innloggingsside, men den har ikke beskrivende tekst for tjenestens innhold. Ikke godkjent.. URL på infoside: https://oskommune.no/tenester/skjenkjeloyve-ambulerande-for-eit-enkelt-hove.aspx - godkjent."
19104,Ambulerende skjenkeløyve - Os kommune,https://oskommune.no/Selvbetjening/skjema.aspx?skjemaid=177&MId1=200,2. Tjenesten er troverdig,2.1,Det kommer klart frem hvilken virksomhet som er ansvarlig for tjenesten,2,2,Os kommune med logo er synlig på alle sider. Godkjent.
19104,Ambulerende skjenkeløyve - Os kommune,https://oskommune.no/Selvbetjening/skjema.aspx?skjemaid=177&MId1=200,2. Tjenesten er troverdig,2.2,Relevant plikt og rettighetsinformasjon er lett tilgjengelig,3,3,"Plikt-, rettighets- og formålsinformasjon: godkjent - plikt- og rettighetsinformasjon er tilgjengelig nok. Det finnes et pdf-dokument med informasjon om plikter og rettigheter, dette bør ligge i HTML. Relevante lover og forskrifter: Ikke godkjent - informasjon om relevante lover er ikke tilgjengelig."
19104,Ambulerende skjenkeløyve - Os kommune,https://oskommune.no/Selvbetjening/skjema.aspx?skjemaid=177&MId1=200,2. Tjenesten er troverdig,2.3,Brukerne får informasjon om saksgang og krav til dokumentasjon,2,4,"Siden med tjenestebeskrivelse (https://oskommune.no/tenester/skjenkjeloyve-ambulerande-for-eit-enkelt-hove.aspx, https://oskommune.no/tenester/salsloyve-for-alkohol.aspx) inneholder info om saksgang og klageadgang. Vi vurderer det slik at infosiden også gir tilstrekkelig med opplysninger som bruker må vite om på forhånd, men inneholder ingen klar informasjon om det er frivillig å bruke e-skjemaet eller om det finnes andre måter å søke på."
19104,Ambulerende skjenkeløyve - Os kommune,https://oskommune.no/Selvbetjening/skjema.aspx?skjemaid=177&MId1=200,2. Tjenesten er troverdig,2.4,Brukeren får bekreftelse på innsending av opplysninger,0,2,Får kvittering men denne inneholder ikke nok informasjon. Se eks.: http://imgur.com/4FhZ30E (sletteside: http://imgur.com/delete/7xXuzfV2r9sZ5Zl )
19104,Ambulerende skjenkeløyve - Os kommune,https://oskommune.no/Selvbetjening/skjema.aspx?skjemaid=177&MId1=200,2. Tjenesten er troverdig,2.5,Brukeren har mulighet til å gi tilbakemelding,1,3,Tilbakemelding er mulig via kontaktskjema( https://oskommune.no/sd/skjema/OS0090/). Sosiale media: Fant ingen slike tjenester direkte på informasjonssiden eller i tjenesteportalen
19104,Ambulerende skjenkeløyve - Os kommune,https://oskommune.no/Selvbetjening/skjema.aspx?skjemaid=177&MId1=200,3. Tjenesten er trygg å bruke,3.1,Tjenesten ivaretar hensyn til personvern,2,2,Godkjent.
19104,Ambulerende skjenkeløyve - Os kommune,https://oskommune.no/Selvbetjening/skjema.aspx?skjemaid=177&MId1=200,3. Tjenesten er trygg å bruke,3.2,Tjenesten benytter en anerkjent innloggingsløsning,1,1,Godkjent med innlogging via ID-porten.
